image_file,document_type,overall_accuracy,processing_time,date_format,total_rows,debit_rows,DOCUMENT_TYPE,STATEMENT_DATE_RANGE,TRANSACTION_DATES,LINE_ITEM_DESCRIPTIONS,TRANSACTION_AMOUNTS_PAID,DOCUMENT_TYPE_f1,STATEMENT_DATE_RANGE_f1,TRANSACTION_DATES_f1,LINE_ITEM_DESCRIPTIONS_f1,TRANSACTION_AMOUNTS_PAID_f1
cba_date_grouped.png,BANK_STATEMENT,0.9894736842105264,65.57432460784912,balance_description_2turn,12,10,BANK_STATEMENT,15 Mar 2024 - 14 Apr 2024,18 Mar 2024 | 19 Mar 2024 | 20 Mar 2024 | 22 Mar 2024 | 28 Mar 2024 | 03 Apr 2024 | 05 Apr 2024 | 08 Apr 2024 | 10 Apr 2024 | 14 Apr 2024,TELSTRA MOBILE SERVICES SYDNEY AUS | WOOLWORTHS 28477 MELBOURNE VIC AUS | SHELL SERVICE STATION RICHMOND VIC | NETFLIX SUBSCRIPTION | CAFE LATTE FITZROY VIC AUS | Transfer to xx2468 CommBank app | COLES SUPERMARKET CARLTON VIC | PARKING METERS MELBOURNE VIC | RENT PAYMENT REAL ESTATE | CHEMIST WAREHOUSE MELBOURNE VIC,"48.50 | 127.35 | 89.60 | 22.99 | 18.50 | 2,000.00 | 156.78 | 15.00 | 1,850.00 | 54.64",1.0,1.0,1.0,0.9473684210526316,1.0
cba_date_grouped_cont.png,BANK_STATEMENT,0.2,2.0950706005096436,table_extraction_not_implemented,0,0,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,1.0,0.0,0.0,0.0,0.0
transaction_summary.png,BANK_STATEMENT,0.2,118.5035171508789,amount_description_2turn,0,0,BANK_STATEMENT,20 Feb 2024 - 20 Apr 2024,NOT_FOUND,NOT_FOUND,NOT_FOUND,1.0,0.0,0.0,0.0,0.0
cba_highligted.png,BANK_STATEMENT,0.2,2.9219698905944824,table_extraction_not_implemented,0,0,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,1.0,0.0,0.0,0.0,0.0
low_contrast.png,BANK_STATEMENT,0.9521690767519466,70.14234924316406,debit_credit_description_2turn,16,16,BANK_STATEMENT,05 Sep 2023 - 10 Sep 2023,05 Sep 2023 | 06 Sep 2023 | 06 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 08 Sep 2023 | 08 Sep 2023 | 09 Sep 2023 | 10 Sep 2023,Otr Supermarket 9876 Sydney Aus | Otr Convenience 4321 Melbourne Aus | Otr Convenience 4321 Melbourne Aus | Retailstore 8765 Perth Aus | Otr Convenience 4321 Melbourne Aus | Valley Shopping Ct Brisbane Aus | Plaza Hotel Sydney Sydney Cre Aus | Plaza Hotel Sydney Sydney Cre Aus | Department Store Pl Adelaide Aus | Plaza Motorcyc1l Brisbane Aus | Plaza Hotel Sydney Sydney Cre Aus | Value Retail Pty Newcastle South Aus | Office Supplies Brisbane Aus | Valley Shop Brisbane Aus | Brisbane Store Brisbane Aus | Value Family Trust Brisbane Aus,45.80 | 28.45 | 15.90 | 12.35 | 34.60 | 67.00 | 89.00 | 23.50 | 1156.95 | 245.00 | 3389.00 | 112.80 | 78.45 | 45.30 | 23.90 | 890.00,1.0,1.0,0.896551724137931,0.967741935483871,0.896551724137931
cba_amount_balance.png,BANK_STATEMENT,0.8220735785953177,82.2742133140564,amount_description_2turn,12,12,BANK_STATEMENT,03 Jun 2023 - 14 Jun 2023,03 Jun 2023 | 04 Jun 2023 | 06 Jun 2023 | 06 Jun 2023 | 07 Jun 2023 | 08 Jun 2023 | 08 Jun 2023 | 09 Jun 2023 | 09 Jun 2023 | 10 Jun 2023 | 12 Jun 2023 | 14 Jun 2023,GROCERY MARKET SUBURB NSW AUS | DEPARTMENT STORE SHOPPING DIST NS AUS | CAFE CENTRAL T 544321F SUBURB AUS | CAFE CENTRAL T 5443321F SUBURB AUS | ONLINE RETAILER.COM SYDNEY AU AUS | SERVICE STATION SUBURB NS AUS | SERVICE STATION SUBURB NS AUS | ONLINE SUBSCRIPTION SYDNEY AU AUS | ONLINE SUBSCRIPTION SYDNEY AU AUS | ELECTRONICS 9876 SUBURB NSW AUS | PHARMACY SERVICES MELBOURNE AUS | BOOKSTORE 2345 SYDNEY AUS,-$78.90 | -$345.80 | -$24.50 | -$33.20 | -$18.95 | -$95.40 | -$28.60 | -$89.00 | -$145.50 | -$567.30 | -$42.85 | -$234.90,1.0,1.0,1.0,0.15384615384615385,0.9565217391304348
cba_debit_credit.png,BANK_STATEMENT,0.4,49.96094346046448,debit_credit_description_2turn,0,0,BANK_STATEMENT,20 May - 24 May,NOT_FOUND,NOT_FOUND,NOT_FOUND,1.0,1.0,0.0,0.0,0.0
image_003.png,BANK_STATEMENT,1.0,45.314162731170654,balance_description_2turn,8,6,BANK_STATEMENT,03/05/2025 - 10/05/2025,03/05/2025 | 04/05/2025 | 05/05/2025 | 07/05/2025 | 08/05/2025 | 10/05/2025,ONLINE PURCHASE AMAZON AU | EFTPOS PURCHASE COLES EXP | EFTPOS PURCHASE COLES EXP | ATM WITHDRAWAL ANZ ATM | EFTPOS PURCHASE COLES EXP | ATM WITHDRAWAL ANZ ATM,$288.03 | $22.50 | $114.66 | $187.59 | $112.50 | $146.72,1.0,1.0,1.0,1.0,1.0
image_009.png,BANK_STATEMENT,0.47205882352941175,81.42282295227051,balance_description_2turn,6,4,BANK_STATEMENT,11 Aug 2025 - 04 Sep 2025,Tue 19 Aug 2025 | Wed 27 Aug 2025 | Sun 31 Aug 2025 | Mon 01 Sep 2025,Cash Withdrawal ATM HOBART TAS | Monthly Service Fee | Monthly Service Fee,$61.68 | $98.53 | $117.89 | $177.57,1.0,1.0,0.125,0.23529411764705882,0.0
synthetic_chrono.png,BANK_STATEMENT,0.4801843317972351,200.02128553390503,balance_description_2turn,25,23,BANK_STATEMENT,06/08/2025 - 25/09/2025,06/08/2025 | 09/08/2025 | 11/08/2025 | 11/08/2025 | 12/08/2025 | 15/08/2025 | 17/08/2025 | 18/08/2025 | 25/08/2025 | 25/08/2025 | 28/08/2025 | 30/08/2025 | 02/09/2025 | 02/09/2025 | 04/09/2025 | 09/09/2025 | 10/09/2025 | 13/09/2025 | 13/09/2025 | 13/09/2025 | 16/09/2025 | 23/09/2025 | 25/09/2025,Online Purchase ebay.com.au AUS | Auto Payment UTILITIES ORIGIN 57542P753321141 | Credit Card Payment CC 14836911190937 | EFTPOS Purchase COLES SUPERMARKET GOLD COAST QLD | ATM Withdrawal B0Q ATM HOBART TAS | ATM Withdrawal B0Q ATM CAINZ QLD | EFTPOS Cash Out MYER ADELAIDE SA | Mortgage Repayment MORT 96742P58018581 WESTPAC | Refund KMART 16686P42186905 | Contactless Payment KMART MELBOURNE VIC | Transfer To MICHAELL B BROWN NetBank 90509P449332107 | EFTPOS Cash Out DAVID JONES PERTH WA | Transfer To JOHN SMITH NetBank 24786P41280770 | Autouto Payment UTILITIES ENERGY AUSTRALIA 84130P6129 | Transfer To SARAH JONES NetBank 69832P727335835 | Transfer To MICHAELL BROWN NetBank 15814P712155651 | Salary Payment TELSTRA 56469P11909920 | Tax Refund ATO 27265P5336033891 | ATM Withdrawal SUNCORP ATM GOLD COCOAST QLD | Mortgage Repayment MORT 332748P3349871333 CBA | Card Purchase BIG W SYDNEY NSW | Subscription Stan 427753P953333970 | Contactless Payment JB HIFI ADELAIDE SA,$1809.53 | $1230.57 | $652.41 | $1220.04 | $1763.38 | $1363.08 | $1666.45 | $436.21 | $1433.44 | $337.52 | $677.14 | $472.66 | $597.03 | $1745.35 | $291.07 | $619.98 | $1135.29 | $1709.92 | $403.31 | $1330.50 | $863.31 | $175.96 | $1633.61,1.0,1.0,0.25806451612903225,0.07142857142857142,0.07142857142857142
synthetic_reverse_chrono.png,BANK_STATEMENT,0.44285714285714295,192.2237889766693,balance_description_2turn,22,20,BANK_STATEMENT,06/08/2025 - 22/09/2025,10/08/2025 | 11/08/2025 | 14/08/2025 | 18/08/2025 | 22/08/2025 | 23/08/2025 | 24/08/2025 | 25/08/2025 | 28/08/2025 | 31/08/2025 | 03/09/2025 | 07/09/2025 | 09/09/2025 | 12/09/2025 | 14/09/2025 | 17/09/2025 | 19/09/2025 | 19/09/2025 | 20/09/2025 | 22/09/2025,Direct Debit OPTUS PTY LTD | EFTPOS Cash Out DAVID JONES ADELAIDE SA | Transfer From EMMA WILSON 47904P61891577 | BPAY Payment BILLER95527 CRRN 33452P649663333 | Insurance Premium ORIGIN ENERGY | EFTPOS Cash Out JB HIFI BRISBANE QLD | Online Purchase gumtree.com.au AUS | Card Purchase BIG W SYDNEY NSW | Contactless Payment BIG W GOLD COAST QLD | ATM Withdrawal WESTPAC ATM GOLD COAST QLD | EFTPOS Purchase WOOLWORTHS HOBART TAS | Online Purchase gumtree.com.au AUS | EFTPOS Purchase WOOLWORTHS GOLD COAST QLD | BPAY Payment BILLER71717 CRRN 64669P443933323 | EFTPOS Cash Out OFFICEWORKS GOLD COAST QLD | Contactless Payment MYER PERIT WA | ATM Withdrawal SUNCORP ATM CANBERRA ACT | Fortnightly Pay OPTUS PAYROLL 37879P81962391 | ATM Withdrawal CBA ATM CANBERRA ACT | EFTPOS Purchase COLES SUPERMARKET ADELAIDE SA,$677.77 | $1656.86 | $33405.56 | $433.14 | $1192.24 | $1099.11 | $1096.07 | $606.58 | $1482.55 | $45.66 | $633.61 | $48.36 | $718.92 | $440.85 | $933.68 | $932.80 | $1886.20 | $4148.86 | $11341.55 | $602.76,1.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
synthetic_multiline.png,BANK_STATEMENT,0.5953379953379954,75.67966532707214,balance_description_2turn,10,8,BANK_STATEMENT,08/08/2025 - 30/08/2025,08/08/2025 | 08/08/2025 | 15/08/2025 | 15/08/2025 | 18/08/2025 | 22/08/2025 | 25/08/2025 | 30/08/2025,Card Purchase KMART PERTH WA | ATM Withdrawal WESTPAC ATM PERTH WA | EFTPOS Purchase WOOLWORTHS SYDNEY NSW | Direct Debit ACME CORP PTY LTD Ref: 35203199335334 | EFTPOS Purchase WOOLWORTHS MOBART TAS | Refund BIG W Ref: 400211433084211 | Insurance Premium AGL Policy 99509977005685 | Subscription Spotify Monthly 82512111540956,$1488.27 | $779.00 | $1215.38 | $1662.22 | $3342.06 | $1488.27 | $433.75 | $1992.32,1.0,1.0,0.4615384615384615,0.33333333333333337,0.18181818181818182
